,created_at,text,retweet_count,favorite_count,screenname,location,sentiment
0,2020-04-11 13:36:31,@presbyope @NEJM @GileadSciences @drjohnm @EricTopol @CMichaelGibson https://t.co/AIlOp1li5G,0,0,DhirajGuptaBHRS,"Wirral, England",0.0
1,2020-04-11 13:31:02,"That last line in the paper conclusions 😂: ""Measurement of efficacy will require ongoing randomized, placebo-contro… https://t.co/321htxgwLy",0,1,jravilap,"Boston, MA",0.0
2,2020-04-11 13:22:31,I would like to know from why @GileadSciences couldn't find any doctors in the world who were willing to NOT give r… https://t.co/9AQokzHeQW,0,0,todd_cutler,"Brooklyn, NY",2.0
3,2020-04-11 13:20:07,Expertos en infecciosas estiman que el 10% de la población española ya ha tenido contacto con el virus SARS-CoV-2… https://t.co/GjG3HNxFWN,1,1,isanidad,España,2.0
4,2020-04-11 13:16:00,@GileadSciences When is @GileadSciences going to allow new compassionate use provisions to be filled out in right t… https://t.co/rQaWaRRIN3,0,0,JeDiGoLLuM01,NY,3.0
5,2020-04-11 13:12:09,#NathanielLipkus .@Osler_Law helps make the case for #Canada &amp; #ProvincialGovt to start funding #LifeSciences &amp;… https://t.co/HxdFvl6nIr,0,0,OfficeOccupier,#OntarioLifeSciencesCorridor,2.0
6,2020-04-11 13:08:31,@omarsiddiqi @The_BMC @GileadSciences @Regeneron all eyes on you and your moral compass during this time!,0,0,AnamWaheed05,,0.0
7,2020-04-11 12:30:56,"Hopeful data. But remember this is NOT a controlled clinical trial.

There is a positive efficacy signal, but witho… https://t.co/0HlfBbDt67",0,0,meophamister,Mendips,4.0
8,2020-04-11 12:27:22,@megtirrell Did @GileadSciences name their company after the country in Handmaid's Tale? 😳,0,0,mfyameen,nyc,0.0
9,2020-04-11 12:22:16,"#Coronavirus 
#Covid19 

Etude #Remdesivir by @GileadSciences:
Plus d'auteurs que de patients... https://t.co/yGkkTOC8hY",0,0,Kabisu,Switzerland,0.0
10,2020-04-11 12:18:37,"#Heroes | Saluting All Scientists! | #LockdownZim | #WeWillPrevail

@edmnangagwa @MthuliNcube @MoHCCZim… https://t.co/JMuhwfWXLg",0,0,KurapaHealth,"Westgate Harare, Zimbabwe",4.0
11,2020-04-11 12:15:59,"#Heroes | Saluting All Scientists! | #LockdownZim | #WeWillPrevail

@edmnangagwa @MthuliNcube @MoHCCZim… https://t.co/zTsZwNf82H",0,0,SabhukuTaku,"Harare, Zimbabwe",4.0
12,2020-04-11 12:13:46,"@skathire @GileadSciences @MGHMedicine If this turns out to be promising, I hope they'd ease up on patents and such… https://t.co/0JkKzBpyRq",0,0,NazalKaradan,Deutschland,4.0
13,2020-04-11 12:03:13,"By the way, we are all glad that @GileadSciences has a medicine that might be able to be repurposed for this dreadf… https://t.co/q76h7fTJq7",0,4,skathire,"Boston, MA",3.0
14,2020-04-11 11:50:22,"Hopefully this drug actually works, definitely seems better than the hydroxychloroquine data, but I must ask… https://t.co/P50i5ke7hA",0,0,jdensonMD,"New Orleans, LA",4.0
15,2020-04-11 11:48:26,True. @BarnerIDpharmD  is working to help our underserved across the river at @challiance try to get into expanded… https://t.co/0scQatrp5T,0,0,hkgibb,"Massachusetts, USA",4.0
16,2020-04-11 11:43:56,@ldd64 @raoult_didier @IHU_Marseille @pdousteblazy @olivierveran @EPhilippePM @MinSoliSante @GileadSciences @APHP T… https://t.co/zbYqd8N0hI,0,0,Charbax,,0.0
17,2020-04-11 11:36:28,"@Spottacus @GileadSciences ""Twelve patients, 23%, had serious side effects including multiple-organ-dysfunction syn… https://t.co/XVb8U7iZOX",0,0,Faijanopsi,,-2.0
18,2020-04-11 11:36:23,@jabarocas @tara_vijayan @BenjaminLinas @The_BMC @GileadSciences @Regeneron Maybe we’re not really ‘all in this tog… https://t.co/YNChtDvWWD,0,1,moss_md,"Boston, MA",0.0
19,2020-04-11 11:27:01,Two-Thirds of Severe #COVID19 Cases Improved on @GileadSciences Drug  https://t.co/3k07P85Ktw,0,0,Ladi_Dairo,"England, United Kingdom",0.0
20,2020-04-11 11:25:37,"@GileadSciences is donating 1.5M doses (140k treatment courses). By the end of year 2020, they will be able to prod… https://t.co/apYmx7VZhZ",0,0,HamadPervaiz,"Lahore, Pakistan",2.0
21,2020-04-11 11:24:05,🇫🇷 #COVID19fr Une étude analytique simplissime montre un ratio Décès/Guérisons 2 à 3 fois inférieur dans les Bouche… https://t.co/LqYeu7bjdr,2,2,ldd64,Paris,0.0
22,2020-04-11 11:21:08,"#Remdesivir shows promise in preliminary #coronavirus trial. But even if its effective, can @GileadSciences product… https://t.co/VBWnpK1WWH",0,0,HamadPervaiz,"Lahore, Pakistan",3.0
23,2020-04-11 11:17:52,@afrah_bintsaif @GileadSciences 🌹🌹🌹,0,0,YAYshamsaldeen,Q8/UAE/Herts/London/N)Somerset,0.0
24,2020-04-11 11:17:33,@cho3our @GileadSciences 🌹🌹🌹,0,0,YAYshamsaldeen,Q8/UAE/Herts/London/N)Somerset,0.0
25,2020-04-11 11:17:03,"Some good news on Coronavirus treatment: 2/3 of patients on @GileadSciences' Remdesivir got better.

https://t.co/s80omZyquK",0,1,Spottacus,"San Francisco Bay Area,  Calif",5.0
26,2020-04-11 11:16:48,@FaisalAlAjmi @GileadSciences هناك اعراض جانبية، و لكن يجب التنويه ان بعض من الاعراض الجانبية المرصودة قد تكون بسبب… https://t.co/MvTE50xA0Q,0,0,YAYshamsaldeen,Q8/UAE/Herts/London/N)Somerset,0.0
27,2020-04-11 11:11:33,@oscarmosh @quiquegaldeano Acude a cualquier clinica donde manejen el programa de Ryan White o contacta a… https://t.co/GyuvLNL8X6,0,0,Amigosdecuaren1,Mexico,0.0
28,2020-04-11 11:04:28,@shogrennn @GileadSciences طبعا... يعتمد على شدة المرض و شدة الحالات التي درسوها...,0,0,YAYshamsaldeen,Q8/UAE/Herts/London/N)Somerset,0.0
29,2020-04-11 11:02:52,@YAYshamsaldeen @GileadSciences ميزة هالدراسة نفس ما تفضلت دكتور ان الشريحة اللي مختارينها عدد كبير منها حالات حرجة… https://t.co/mUH0PDWocU,0,0,shogrennn,,0.0
30,2020-04-11 10:56:00,ギリアド　増産 https://t.co/Gikpt6SOzW,0,0,Labo_IPO,,0.0
31,2020-04-11 10:51:49,"@schorsch @nakloa Ich hatte schon vor drei Wochen vorgeschlagen, eine Lizenzvereinbarung mit @GileadSciences abzusc… https://t.co/7imr22qur7",1,3,R34lB0rg,"Planet Earth 🌍
Milky Way Galaxy 🌌",0.0
32,2020-04-11 10:43:52,#Remdesivir offers hope in the fight against #covid19 #gileadsciences https://t.co/OiDcoZs6v8,0,1,acuestaMD,"New York, USA | Madrid, EU",1.0
33,2020-04-11 10:41:08,"What’s even more annoying is that @GileadSciences are funding RCTs into remdesivir at the moment. 

Publication sho… https://t.co/TRU2InZbnJ",1,4,stemlyns,http://stemlynsblog.org,-2.0
34,2020-04-11 10:28:44,@GileadSciences @NEJM Nonfiiitiiriririiririirir,0,0,bitolef,"Ile-de-France, France",0.0
35,2020-04-11 10:20:51,"@LawtonTri @pbendoscopist @SaralayaD @docjohnwright @AirBthft @NEJM @GileadSciences I know little about medicine, b… https://t.co/E1dQSeOrMm",0,2,richsilvo,London,0.0
36,2020-04-11 10:00:20,#Internacional | @GileadSciences dona 198.000 dosis de #Truvada en el que se incluirá a 4.000 profesionales sanitar… https://t.co/RzSm0fWwWj,0,2,ECSalud_com,"Madrid, España",0.0
37,2020-04-11 09:45:10,"@SimonRosner @GileadSciences ich hoffe sehr, dass die breit angelegten klinischen tests eine wirksamkeit zeigen. da… https://t.co/WBtSPKeeBg",0,0,thomasseifert,"Vienna, Austria",-3.0
38,2020-04-11 09:44:55,"$GILD's Aroon indicator drops into Downtrend on March 13, 2020. View odds for this and other indicators:… https://t.co/97X6qFwGf0",0,0,Tickeron,"Sunnyvale, CA",0.0
39,2020-04-11 09:43:40,@GileadSciences Amazing Support. Does this extend to current awardees of the Research Scholar Program in Hematology… https://t.co/f58Jj3W3xn,0,0,charles_debock,,7.0
40,2020-04-11 09:36:56,More than 150 organisations including Doctors Without Borders and individuals on urged #USA biotechnology firm… https://t.co/uVSZyNB13s,0,0,Angine5,Between Belgrade & Rome,0.0
41,2020-04-11 09:35:08,@thomasseifert @GileadSciences Sehr hoffnungsvoll klingt das mE nicht. Das war aber keine Blindstudie. Aus China hi… https://t.co/NOnF5P8pdd,0,0,SimonRosner,Wien,-2.0
42,2020-04-11 09:22:50,"#Covid_19 The interesting part is, @GileadSciences was part of the #vaccine lobby at whose behest the @WHO faked th… https://t.co/APluQ56xCe",3,2,Angine5,Between Belgrade & Rome,0.0
43,2020-04-11 09:17:41,"#Covid_19 Chairman of @GileadSciences #DonaldRumsfeld &amp; Board Member of Gilead,Former US Secretary of State… https://t.co/LaprixtL0Q",0,0,Angine5,Between Belgrade & Rome,0.0
44,2020-04-11 09:15:17,"#Covid_19 Fake Pandemic, Real Profits Gilead’s flu drug, #Tamiflu, originally manufactured by @GileadSciences, was … https://t.co/k8aW3lqvBG",0,0,Angine5,Between Belgrade & Rome,-3.0
45,2020-04-11 09:12:19,@krannoot @pvermeul_peter @peter_persyn @Emprise2 @GabyHemeryck Vreemd...Zijn adviseurs moeten toch reeds aan tafel… https://t.co/9GFCKqaY9r,0,1,Culturefreak12,,0.0
46,2020-04-11 09:12:15,@pbendoscopist @SaralayaD @docjohnwright @AirBthft @NEJM @GileadSciences I hope there's a bit more research before… https://t.co/eiK7ZuX7W5,0,1,LawtonTri,"Bradford, England",2.0
47,2020-04-11 09:08:09,@LawtonTri @SaralayaD @docjohnwright @AirBthft @NEJM Watch @GileadSciences share price on Tuesday....,0,0,pbendoscopist,London,1.0
48,2020-04-11 09:02:53,"@Angine5 @GileadSciences they rescinded it three weeks ago, compassionate use and 140,000 patient loads for free.",0,0,avonnc,,3.0
49,2020-04-11 09:00:14,@Angine5 @GileadSciences bio terrorism?source?,0,0,LogicCassel,,0.0
50,2020-04-11 08:58:40,@pauledge @gatesfoundation @Novartis @GileadSciences @pfizer @GSK @US_FDA Project Mass sterilization right there,0,2,richiemccowen,,0.0
51,2020-04-11 08:52:10,@GileadSciences...... Dark side including having #PENTAGON to bomb a competitors factory under the false pretext of… https://t.co/gc6nOMdqmi,0,1,Angine5,Between Belgrade & Rome,-2.0
52,2020-04-11 08:50:16,"#COVIDー19 The company @GileadSciences has secured orphan drug status for #Remdesivir, allowing it to exclusively ob… https://t.co/5YUqzNdg12",1,0,Angine5,Between Belgrade & Rome,2.0
53,2020-04-11 08:48:10,#GileadSciences The #coronavirus #Vaccine Manufacturer Accused Of #Bioterrorism   @GileadSciences #American biotech… https://t.co/SKjsm453pX,3,2,Angine5,Between Belgrade & Rome,-2.0
54,2020-04-11 08:29:53,"@DhirajGuptaBHRS @drjohnm @NEJM @GileadSciences @EricTopol @CMichaelGibson In COVID-19, “historical” controls are w… https://t.co/pXSk4OoN7Q",0,0,load_dependent,"Levanger, Norge",0.0
55,2020-04-11 08:27:29,"@DhirajGuptaBHRS @NEJM @GileadSciences @drjohnm @EricTopol @CMichaelGibson Sorry, but there can be drawn no positiv… https://t.co/ngszo1Pvj3",0,1,load_dependent,"Levanger, Norge",-2.0
56,2020-04-11 08:25:40,"@shogrennn @GileadSciences بالعكس...النجاة survival rate جيد جدا ... هذيلا ناس تحت جهاز تنفس اصطناعي ... 

٢٥% منهم… https://t.co/J6WLW2HCsA",1,0,YAYshamsaldeen,Q8/UAE/Herts/London/N)Somerset,0.0
57,2020-04-11 08:17:41,"@GileadSciences Will gilead produce remedisvir in india by partnering with indian manufacturers, if found effective against covid-19.",0,0,pathguy009,India,2.0
