,created_at,text,retweet_count,favorite_count,screenname,location,sentiment
0,2020-04-14 15:28:51,Farmareuzen als Merck en Roche lijken steeds meer op investeerders https://t.co/gF5FGcjpfV,0,0,fernandezamster,Amsterdam,0.0
1,2020-04-14 15:26:54,"In 2014, the Gates Foundation funded tests of experimental HPV vaccines, developed by Glaxo Smith Kline (GSK) and M… https://t.co/Dn0IrFMuYT",0,0,sorellkag,United States,3.0
2,2020-04-14 15:26:28,Thank you @realDonaldTrump get rid of corrupt @NYGovCuomo in bed with Merck and Big Pharma selling out our children… https://t.co/qTn0IBGLG5,0,0,MelissaRaeToro1,,0.0
3,2020-04-14 15:24:11,"@shuang41668858 @Merck Hi, thank you for reaching out. Please note our company is known as MSD outside of the Unite… https://t.co/vaVBtmETfZ",0,0,MSDInvents,Global,4.0
4,2020-04-14 15:12:24,@Merck I will get a DEA license at least for AMT,0,0,AlexanderVJens1,Scottsdale,0.0
5,2020-04-14 15:07:34,"ICYMI: @JCPinDorset Customer Relations Specialist, Full Time, @merckgroup #Poole Info/Apply https://t.co/MhwmkMUypq… https://t.co/5VFFGev0r8",0,0,PooleAndBmouth,United Kingdom,0.0
6,2020-04-14 15:02:35,Me comentan por cucaracha q el medicamento q pidio #Tinelli es a base de clorhidrato q oportunamente descubrio un Lab Aleman llamado Merck.,0,2,AlejandroVito,"Buenos Aires, Parque Leloir",0.0
7,2020-04-14 15:02:18,"Process Engineer II – Merck KGaA – Sheboygan Falls, WI https://t.co/oUYOYzDtNo",0,0,LGBTBIZ,Veteran Owned Endeavour,0.0
8,2020-04-14 15:02:00,"Customer Relations Specialist, Full Time, @merckgroup #Poole Info/Apply https://t.co/UryjWkTymb #DorsetJobs https://t.co/MriLCqgySw",0,0,JCPinDorset,Dorset,0.0
9,2020-04-14 15:01:31,Partners Astrazeneca and Merck have gained a green light from the FDA for U.S. marketing of the oral MEK1/2 inhibit… https://t.co/gzuztGk3Cs,0,0,BioWorld,USA,1.0
10,2020-04-14 15:00:55,"It may feel like a cloud is hanging over your head today, but ... More for Aquarius https://t.co/ZZfjyDsKrR",0,0,Ms_Merck,Detroit MI,2.0
11,2020-04-14 15:00:01,"Neben den klassischen Formen von Materie - fest, flüssig und gasförmig - haben Wissenschaftler jetzt weitere exotis… https://t.co/ZqMgMcyHWj",0,0,merck_de,"Deutschland, Darmstadt",3.0
12,2020-04-14 14:59:54,Just two days left to register for this FREE SHRM webinar on boosting community &amp; morale in current times - April 1… https://t.co/X5PJMwGT2m,0,0,JoyceCSilvia,"Massachusetts, USA",2.0
13,2020-04-14 14:51:14,"Massive Demand for Chickenpox Vaccine Market.
Leading Players: @Merck @GSK @sanofi 
#pharmaceuticals #healthcare… https://t.co/9LVGUjfRFq",0,0,Reportconsult,Japan,1.0
14,2020-04-14 14:50:04,"AstraZeneca and Merck Collaboration Earns FDA New Drug Approval: Koselugo (selumetinib)
https://t.co/wZTiCRtigh… https://t.co/biWJYW4uEn",0,0,JohnGBaresky,"Park Ridge ( Chicago ), IL",2.0
15,2020-04-14 14:47:36,"who are the leading players of Hay fever Market?
Leading players: @sanofi @GSK @Merck 
#pharmaceuticals #healthcare… https://t.co/o2ncpnI2Li",0,0,Reportconsult,Japan,2.0
16,2020-04-14 14:47:30,"HPV Vaccine Victim Sues Merck | Gardasil Dangers

ガーダシルを服用した213人の女性が永続的な障害に苦しむ https://t.co/VZ3XaFGdqz",1,0,syannyaroo,,-5.0
17,2020-04-14 14:45:13,"3 LCJ Corporate Members – @Merck, @LillyPad and @pfizer – have teamed up to enable employees with medical licenses… https://t.co/JX2TQUpnYE",0,0,LCJReform,,0.0
18,2020-04-14 14:44:19,@mkashiouris @medevidenceblog @ogi_gajic I did a) Harrison's b) Merck Manual c) the Little ICU book c) Current Surg… https://t.co/sm4stKKJLY,0,0,ChristosArgyrop,Land of Enchantment,0.0
19,2020-04-14 14:44:07,仁王2Steamで出らんか,0,0,merck_snow,九州だって信じてる,0.0
20,2020-04-14 14:43:52,"TAKE NOTE the @WHO is bought and paid for, the @CDCgov is bought and paid for by @BillGates @Merck @pfizer @GSK etc… https://t.co/QeSp2wkrFr",0,0,blockchainfitz,,0.0
21,2020-04-14 14:42:03,"In 2014 heeft de #GatesFoundation gefinancierde tests van experimentele HPV-vaccins, ontwikkeld door GSK en Merck,… https://t.co/FFhH2LT1Bs",6,3,Nieuwsberichte1,,0.0
22,2020-04-14 14:41:06,"MUST LISTEN: 
Dr. Shiva's is running for Senate in Massachusetts 
and exposes VACCINE CABAL: 
(They are ALL in it t… https://t.co/6qrpD85GJF",0,0,NOFEAR46966259,Matthew 23:27,-1.0
23,2020-04-14 14:40:47,@LotusOak2 There is a lawsuit against merck that has been sitting in a Philly court since 2010,0,1,thebeaksdidit,,-2.0
24,2020-04-14 14:36:25,"@TheCollectiveQ Cuomo is despicable, he took away religious freedom last September when he threw 26,000 students ou… https://t.co/2AbU6QynX1",0,1,GagerTeri,,2.0
25,2020-04-14 14:32:22,Merck Bid for Second Pan-Cancer Keytruda Indication Would Raise Tumor Mutation Burden to CDx Status https://t.co/Hnaf8mV1pT,0,0,360DxNews,,-5.0
26,2020-04-14 14:30:45,So i did some digging on the mfg of this adrenochrome vial and it appears to be made by sigma life science/sigma-al… https://t.co/bUeG6IrB7K,0,0,Griswold_,,0.0
27,2020-04-14 14:28:44,"In 2014, the #GatesFoundation funded tests of experimental HPV vaccines, developed by GSK and Merck, on 23,000 youn… https://t.co/bVXo9BXc9p",0,0,MeJacqs,,3.0
28,2020-04-14 14:21:28,#DEST https://t.co/xCcDm2wBTs,1,2,doit4thetwins,,0.0
29,2020-04-14 14:18:02,... and #COVID19 candidates by @PittHealthSci @JanssenGlobal @BARDA @JohnsHopkinsSPH $144510 @lajollapharma… https://t.co/gJhmtgYPA4,0,2,GENbio,"New Rochelle, NY",0.0
30,2020-04-14 14:13:15,Hey #northstars! Make sure you are checking Google Classroom for Mme Germain’s #FSL tasks for the week! Merck beauc… https://t.co/33nsBNtJcN,0,1,cgermainedu,Southern Ontario,0.0
31,2020-04-14 14:05:42,"Online Bidding: Roche Site Closure, Merck KGaA and Johnson and Johnson Surplus Equipment https://t.co/PX3f9cwmMg https://t.co/GkLK4K3QJy",0,0,UsedLine,"Southfield, MI USA",0.0
32,2020-04-14 14:04:13,Merck Foundation Announce ‘Stay at Home’ Media Recognition Awards for Asian Countries https://t.co/uXhqy8a4DQ https://t.co/7w31OD321X,0,0,NewsFromBW,,5.0
33,2020-04-14 14:03:31,Merck Foundation Announce ‘Stay at Home’ Media Recognition Awards for Asian Countries https://t.co/0puCp1ExPP,0,0,Picante_Media,Global,5.0
34,2020-04-14 14:03:05,@HatgiNeal @VileThePro @mcfunny @_mamadeb @AgileConcept @Rome_Fell @MacBaird13 @Monstercoyliar @organicdot… https://t.co/ReVb82bEIl,0,4,RisetteMD,,0.0
35,2020-04-14 14:02:08,"Merck unterstützt Jenner Institute, um den ersten Meilenstein zur
Impfstoffherstellung für Covid-19 zu erreichen  https://t.co/E7DxlvvYkc",0,0,VIEmediaNEWS,,0.0
36,2020-04-14 14:00:06,Webcast – Boosting Morale and Community: Merck's Story https://t.co/iAfzwFXY8R,0,0,nmalone007,,1.0
37,2020-04-14 13:56:59,"@ofcjulito Te fechado puto,  só vila sapê ou Merck 🤦‍♂️...  pensei que na favela colocava",0,1,Theeuszinhokrt,CDD 13 5 💣,0.0
38,2020-04-14 13:56:15,@FantomFDN @Bayer @Novartis @sanofi @pfizer @Roche @Merck @CureVacAG,0,0,thecryptosview,Worldwide,0.0
39,2020-04-14 13:56:01,"Oncology Specialty Representative, GU (Spokane, WA - Merck - North Wales, PA https://t.co/pUAszMW6GD",0,0,NFJShane,,0.0
40,2020-04-14 13:52:39,"That's nice, they deserve praise and thanks but, where is the thanks for the EMTs, Paramedics and Fire Fighters who… https://t.co/gFIvoS5ZEx",0,0,JustinVox,"Washington, DC",8.0
41,2020-04-14 13:48:02,Essa lotérica daqui da merck sempre tá cheia 🤦🏻‍♂️,0,1,_cardosofabio,Rj,0.0
42,2020-04-14 13:43:09,Merck:Merck apporte son soutien au Jenner Institute pour franchir une première étape dans la fabrication du vaccin… https://t.co/6jJ7ixF2Vy,0,0,PRproBE,"Brussel, België",0.0
43,2020-04-14 13:42:31,Baby Yoda face mask hug Merck I can’t stay at home shirt https://t.co/SBouuxb55d https://t.co/OIxLiyJMbk,0,0,macdi12,"Los Angeles, CA",2.0
